Season,Team,Age,Win_loss_percentage,Pace
2014-15,New Orleans Pelicans,25.1,.000,92.0
2014-15,Boston Celtics,24.6,.000,93.3
2014-15,Milwaukee Bucks,24.8,.333,93.1
2014-15,Toronto Raptors,25.9,.000,94.5
2015-16,San Antonio Spurs,30.7,.600,91.9
2015-16,Cleveland Cavaliers,28.0,.762,90.7
2015-16,Oklahoma City Thunder,25.6,.611,95.2
2015-16,Golden State Warriors,27.4,.625,97.0
2015-16,Miami Heat,28.7,.500,90.2
2015-16,Indiana Pacers,26.4,.429,88.8
2015-16,Los Angeles Clippers,29.3,.333,93.7
2015-16,Atlanta Hawks,28.3,.400,95.7
2015-16,Portland Trail Blazers,24.8,.455,96.2
2015-16,Toronto Raptors,26.1,.500,89.4
2015-16,Boston Celtics,25.0,.333,98.3
2015-16,Charlotte Hornets,26.9,.429,91.0
2015-16,Detroit Pistons,24.1,.000,86.8
2015-16,Houston Rockets,28.5,.200,98.4
2015-16,Dallas Mavericks,30.4,.200,91.8
2015-16,Memphis Grizzlies,30.8,.000,89.1
2016-17,Golden State Warriors,28.3,.941,100.3
2016-17,Cleveland Cavaliers,29.3,.722,96.6
2016-17,Houston Rockets,28.1,.545,96.4
2016-17,San Antonio Spurs,29.5,.500,93.2
2016-17,Washington Wizards,26.1,.538,96.7
2016-17,Milwaukee Bucks,25.0,.333,90.5
2016-17,Atlanta Hawks,27.2,.333,98.4
2016-17,Los Angeles Clippers,30.9,.429,89.8
2016-17,Boston Celtics,25.9,.500,93.9
2016-17,Indiana Pacers,26.4,.000,94.8
2016-17,Utah Jazz,27.8,.364,92.1
2016-17,Toronto Raptors,26.9,.400,93.1
2016-17,Chicago Bulls,26.6,.333,92.1
2016-17,Oklahoma City Thunder,25.3,.200,98.6
2016-17,Memphis Grizzlies,29.7,.333,85.8
2016-17,Portland Trail Blazers,24.8,.000,102.3
2017-18,Golden State Warriors,28.4,.762,96.5
2017-18,Indiana Pacers,26.2,.429,90.7
2017-18,Philadelphia 76ers,26.5,.500,97.5
2017-18,Houston Rockets,29.8,.647,95.7
2017-18,Boston Celtics,24.8,.579,93.1
2017-18,Milwaukee Bucks,25.3,.429,92.3
2017-18,New Orleans Pelicans,26.8,.556,102.7
2017-18,Cleveland Cavaliers,30.3,.545,91.6
2017-18,Washington Wizards,27.0,.333,97.2
2017-18,Utah Jazz,25.6,.455,97.8
2017-18,Oklahoma City Thunder,27.9,.333,97.8
2017-18,Toronto Raptors,26.2,.400,94.8
2017-18,Portland Trail Blazers,25.6,.000,98.7
2017-18,Minnesota Timberwolves,27.6,.200,95.0
2017-18,San Antonio Spurs,30.2,.200,93.3
2017-18,Miami Heat,27.5,.200,100.4
2018-19,Milwaukee Bucks,27.6,.667,99.5
2018-19,Toronto Raptors,28.4,.667,95.4
2018-19,Golden State Warriors,29.1,.636,97.3
2018-19,Houston Rockets,29.5,.545,96.2
2018-19,Philadelphia 76ers,27.2,.583,98.2
2018-19,Denver Nuggets,25.4,.500,92.2
2018-19,Boston Celtics,26.2,.556,99.1
2018-19,Portland Trail Blazers,26.6,.500,95.7
2018-19,San Antonio Spurs,28.3,.429,91.4
2018-19,Oklahoma City Thunder,26.2,.200,99.6
2018-19,Indiana Pacers,27.7,.000,94.4
2018-19,Utah Jazz,27.0,.200,98.0
2018-19,Los Angeles Clippers,26.7,.333,102.1
2018-19,Brooklyn Nets,25.3,.200,104.0
2018-19,Orlando Magic,25.9,.200,95.5
2018-19,Detroit Pistons,26.5,.000,100.5
2019-20,Los Angeles Lakers,29.3,.762,97.3
2019-20,Boston Celtics,25.0,.588,96.4
2019-20,Los Angeles Clippers,27.9,.538,98.0
2019-20,Toronto Raptors,27.1,.636,99.1
2019-20,Utah Jazz,26.8,.429,91.5
2019-20,Miami Heat,27.1,.667,95.9
2019-20,Milwaukee Bucks,29.8,.500,100.3
2019-20,Houston Rockets,30.2,.417,98.6
2019-20,Denver Nuggets,25.2,.474,94.1
2019-20,Oklahoma City Thunder,25.7,.429,100.1
2019-20,Orlando Magic,27.0,.200,104.4
2019-20,Dallas Mavericks,26.2,.333,102.1
2019-20,Portland Trail Blazers,26.6,.200,101.9
2019-20,Indiana Pacers,26.2,.000,96.7
2019-20,Philadelphia 76ers,26.4,.000,95.2
2019-20,Brooklyn Nets,25.4,.000,103.5
2020-21,Philadelphia 76ers,27.3,.583,100.2
2020-21,Brooklyn Nets,28.7,.583,96.1
2020-21,Milwaukee Bucks,29.2,.696,96.9
2020-21,Phoenix Suns,26.6,.636,95.1
2020-21,Los Angeles Clippers,29.3,.526,92.8
2020-21,Utah Jazz,28.6,.545,96.3
2020-21,Portland Trail Blazers,28.5,.333,95.0
2020-21,Atlanta Hawks,25.6,.556,96.8
2020-21,Dallas Mavericks,26.2,.429,91.8
2020-21,Denver Nuggets,26.3,.400,96.3
2020-21,Los Angeles Lakers,29.1,.333,93.8
2020-21,New York Knicks,27.3,.200,93.7
2020-21,Memphis Grizzlies,24.0,.200,99.5
2020-21,Boston Celtics,25.0,.200,95.8
2020-21,Washington Wizards,27.4,.200,102.2
2020-21,Miami Heat,28.8,.000,98.9
2021-22,Golden State Warriors,28.2,.727,97.1
2021-22,Miami Heat,28.3,.611,94.2
2021-22,Boston Celtics,26.3,.583,95.3
2021-22,Memphis Grizzlies,23.9,.500,102.1
2021-22,Milwaukee Bucks,29.5,.583,98.5
2021-22,Dallas Mavericks,27.1,.500,92.6
2021-22,Philadelphia 76ers,27.4,.500,92.2
2021-22,Phoenix Suns,27.8,.538,93.1
2021-22,New Orleans Pelicans,25.5,.333,93.4
2021-22,Brooklyn Nets,29.5,.000,93.8
2021-22,Minnesota Timberwolves,24.8,.333,102.6
2021-22,Utah Jazz,29.1,.333,91.0
2021-22,Denver Nuggets,28.1,.200,96.9
2021-22,Toronto Raptors,25.3,.333,91.2
2021-22,Atlanta Hawks,25.5,.200,95.2
2021-22,Chicago Bulls,26.4,.200,100.3
2022-23,Denver Nuggets,26.8,.800,94.4
2022-23,Boston Celtics,27.7,.550,95.0
2022-23,Los Angeles Lakers,27.8,.500,98.1
2022-23,Miami Heat,29.0,.565,94.5
2022-23,New York Knicks,24.7,.545,91.9
2022-23,Golden State Warriors,28.6,.462,101.0
2022-23,Philadelphia 76ers,28.3,.636,91.4
2022-23,Sacramento Kings,25.3,.429,102.7
2022-23,Phoenix Suns,29.1,.545,97.6
2022-23,Milwaukee Bucks,30.8,.200,102.1
2022-23,Atlanta Hawks,25.2,.333,100.7
2022-23,Cleveland Cavaliers,25.0,.200,91.1
2022-23,Los Angeles Clippers,30.2,.200,98.7
2022-23,Memphis Grizzlies,24.1,.333,99.0
2022-23,Minnesota Timberwolves,27.4,.200,94.1
2022-23,Brooklyn Nets,27.3,.000,89.7
2023-24,Boston Celtics,29.0,.842,91.9
2023-24,Oklahoma City Thunder,23.0,.600,94.3
2023-24,Orlando Magic,24.1,.429,94.6
2023-24,Minnesota Timberwolves,27.0,.563,91.8
2023-24,Dallas Mavericks,25.8,.591,92.4
2023-24,Indiana Pacers,25.5,.471,93.7
2023-24,Philadelphia 76ers,29.6,.333,90.9
2023-24,Denver Nuggets,27.3,.583,92.4
2023-24,New York Knicks,26.4,.538,91.9
2023-24,Los Angeles Lakers,29.3,.200,95.3
2023-24,Milwaukee Bucks,31.1,.333,93.3
2023-24,Cleveland Cavaliers,26.2,.417,92.7
2023-24,Los Angeles Clippers,30.5,.333,90.9
2023-24,Phoenix Suns,30.3,.000,93.5
2023-24,New Orleans Pelicans,26.9,.000,94.3
2023-24,Miami Heat,26.3,.200,90.8
