Season,Team,Age,Win_loss_percentage,Pace
1988-89,Philadelphia 76ers,28.2,.000,95.2
1988-89,Seattle Supersonics,25.9,.375,95.2
1988-89,Milwaukee Bucks,28.7,.333,86.0
1988-89,Golden State Warriors,26.1,.500,102.7
1988-89,Denver Nuggets,30.6,.000,107.6
1988-89,Utah Jazz,27.5,.000,99.6
1988-89,Boston Celtics,27.7,.000,92.8
1988-89,Portland Trail Blazers,26.9,.000,97.5
1989-90,Detroit Pistons,29.3,.750,92.2
1989-90,San Antonio Spurs,25.3,.600,102.2
1989-90,Chicago Bulls,26.3,.625,92.7
1989-90,Phoenix Suns,27.1,.563,97.9
1989-90,Los Angeles Lakers,28.9,.444,94.1
1989-90,Cleveland Cavaliers,26.4,.400,93.8
1989-90,Boston Celtics,31.0,.400,99.9
1989-90,Utah Jazz,27.8,.400,94.8
1989-90,Portland Trail Blazers,26.7,.571,99.3
1989-90,Philadelphia 76ers,27.3,.400,93.2
1989-90,New York Knicks,28.0,.400,95.2
1989-90,Houston Rockets,27.3,.250,92.6
1989-90,Dallas Mavericks,28.3,.000,97.2
1989-90,Milwaukee Bucks,28.4,.250,94.1
1989-90,Denver Nuggets,29.6,.000,108.8
1989-90,Indiana Pacers,26.2,.000,88.6
1990-91,Chicago Bulls,27.2,.882,88.1
1990-91,Utah Jazz,28.4,.444,95.6
1990-91,Portland Trail Blazers,27.8,.563,93.6
1990-91,Boston Celtics,28.7,.455,95.3
1990-91,Los Angeles Lakers,28.2,.632,92.0
1990-91,Indiana Pacers,26.5,.400,101.7
1990-91,Detroit Pistons,30.4,.467,90.3
1990-91,Philadelphia 76ers,28.4,.500,89.8
1990-91,Golden State Warriors,26.3,.444,100.2
1990-91,Seattle Supersonics,26.5,.400,95.6
1990-91,San Antonio Spurs,25.8,.250,101.0
1990-91,Houston Rockets,27.2,.000,90.8
1990-91,Atlanta Hawks,29.0,.400,91.9
1990-91,Milwaukee Bucks,29.0,.000,93.9
1990-91,Phoenix Suns,27.1,.250,96.4
1990-91,New York Knicks,28.7,.000,91.8
1991-92,Chicago Bulls,27.8,.682,89.0
1991-92,Portland Trail Blazers,28.6,.619,94.5
1991-92,Cleveland Cavaliers,28.5,.529,91.7
1991-92,Phoenix Suns,26.9,.500,99.6
1991-92,New York Knicks,27.3,.500,84.6
1991-92,Golden State Warriors,25.8,.250,99.8
1991-92,Utah Jazz,28.9,.563,89.9
1991-92,Boston Celtics,29.8,.600,91.6
1991-92,Seattle Supersonics,27.0,.444,93.1
1991-92,Los Angeles Clippers,27.7,.400,90.6
1991-92,Indiana Pacers,26.5,.000,93.7
1991-92,New Jersey Nets,25.6,.250,96.9
1991-92,Detroit Pistons,30.0,.400,85.7
1991-92,San Antonio Spurs,28.4,.000,93.9
1991-92,Los Angeles Lakers,27.4,.250,91.4
1991-92,Miami Heat,24.5,.000,92.8
1992-93,Chicago Bulls,28.2,.789,88.5
1992-93,Houston Rockets,27.4,.500,91.1
1992-93,Seattle Supersonics,28.0,.526,89.7
1992-93,Phoenix Suns,27.9,.542,92.8
1992-93,Indiana Pacers,27.1,.250,90.3
1992-93,San Antonio Spurs,27.4,.500,93.1
1992-93,Charlotte Hornets,25.7,.444,91.9
1992-93,Portland Trail Blazers,28.5,.250,91.2
1992-93,New York Knicks,28.4,.600,90.4
1992-93,Cleveland Cavaliers,29.1,.333,89.1
1992-93,New Jersey Nets,27.6,.400,91.9
1992-93,Los Angeles Lakers,28.0,.400,92.3
1992-93,Utah Jazz,29.7,.400,85.2
1992-93,Los Angeles Clippers,26.8,.400,94.3
1992-93,Boston Celtics,28.9,.250,89.0
1992-93,Atlanta Hawks,27.3,.000,91.1
